Country,Happiness Rank_2015,Happiness Score_2015,Economy (GDP per Capita)_2015,Health (Life Expectancy)_2015,Generosity_2015,Freedom_2015,Trust (Government Corruption)_2015,Happiness Rank_2016,Happiness Score_2016,Economy (GDP per Capita)_2016,Health (Life Expectancy)_2016,Generosity_2016,Freedom_2016,Trust (Government Corruption)_2016,Happiness Rank_2017,Happiness Score_2017,Economy (GDP per Capita)_2017,Health (Life Expectancy)_2017,Generosity_2017,Freedom_2017,Trust (Government Corruption)_2017,Happiness Rank_2018,Happiness Score_2018,Economy (GDP per Capita)_2018,Health (Life Expectancy)_2018,Generosity_2018,Freedom_2018,Trust (Government Corruption)_2018,Happiness Rank_2019,Happiness Score_2019,Economy (GDP per Capita)_2019,Health (Life Expectancy)_2019,Generosity_2019,Freedom_2019,Trust (Government Corruption)_2019,Economic Freedom Rank,Economic Freedom Score,QuantileRank,Happiness Score_avg,Economy_avg,Health_avg,Generosity_avg,Freedom_avg,Trust_avg
Bolivia,51,5.89,0.68133,0.5392,0.20536,0.57414,0.08800000000000001,59,5.822,0.79422,0.4697,0.21698,0.50961,0.07746,58,5.82299995422363,0.833756566047668,0.47363024950027505,0.22556072473526,0.5587329268455511,0.0604777261614799,62,5.752000000000001,0.7509999999999999,0.508,0.141,0.606,0.054000000000000006,61,5.779,0.7759999999999999,0.706,0.13699999999999998,0.511,0.064,111,6.3,,5.813199990844726,0.7672613132095336,0.539306049900055,0.18518014494705198,17.15135470383508,0.06878754523229598
Saudi Arabia,35,6.4110000000000005,1.39541,0.72025,0.13706,0.31048000000000003,0.32524000000000003,34,6.379,1.48953,0.59267,0.15457,0.37904,0.30008,37,6.343999862670901,1.53062355518341,0.590148329734802,0.147616013884544,0.449750572443008,0.27343225479126004,33,6.371,1.379,0.633,0.098,0.509,0.127,28,6.375,1.403,0.795,0.08,0.439,0.132,110,6.31,,6.37599997253418,1.439512711036682,0.6662136659469604,0.12344920277690878,16.913895796063287,0.231550450958252
Belarus,59,5.813,1.0319200000000002,0.7360800000000001,0.11045999999999999,0.37938,0.1909,61,5.8020000000000005,1.1306200000000002,0.6310399999999999,0.13942000000000002,0.29091,0.17457,67,5.5689997673034695,1.15655755996704,0.6377142667770389,0.15513750910759,0.295400261878967,0.156313821673393,73,5.483,1.0390000000000001,0.7,0.10099999999999999,0.307,0.154,81,5.3229999999999995,1.067,0.789,0.094,0.235,0.142,109,6.35,,5.597999953460694,1.085019511993408,0.6987668533554078,0.120003501821518,16.693955751696993,0.1635567643346786
Azerbaijan,80,5.212000000000001,1.02389,0.64045,0.07799,0.3703,0.16065,81,5.291,1.12373,0.54504,0.0564,0.35327,0.17914000000000002,85,5.234000205993651,1.1536017656326298,0.5407757759094239,0.0452693402767181,0.39815583825111406,0.180987507104874,87,5.2010000000000005,1.024,0.603,0.031,0.43,0.17600000000000002,90,5.207999999999999,1.043,0.769,0.035,0.35100000000000003,0.182,107,6.37,,5.22920004119873,1.073644353126526,0.6196531551818849,0.04913186805534362,16.467532262607303,0.1757555014209748
Ecuador,48,5.975,0.8640200000000001,0.79075,0.11540999999999998,0.48573999999999995,0.1809,51,5.976,0.97306,0.68613,0.10074,0.4027,0.18037,44,6.00799989700317,1.00082039833069,0.685636222362518,0.15011246502399403,0.4551981985569,0.140134647488594,48,5.973,0.889,0.736,0.114,0.556,0.12,50,6.028,0.912,0.868,0.126,0.498,0.087,105,6.46,,5.991999979400633,0.9277800796661382,0.7533032444725035,0.12125249300479882,16.26537688550813,0.1416809294977188
Nepal,121,4.513999999999999,0.35996999999999996,0.5687399999999999,0.32295999999999997,0.38282,0.059070000000000004,107,4.793,0.44626000000000005,0.50073,0.3816,0.37012,0.07007999999999999,99,4.961999893188481,0.479820191860199,0.504130780696869,0.39409616589546204,0.44030594825744607,0.0729755461215973,101,4.88,0.425,0.539,0.302,0.526,0.078,100,4.913,0.446,0.677,0.285,0.439,0.08900000000000001,104,6.48,,4.812399978637695,0.43141003837203984,0.5579201561393738,0.3371312331790924,16.091177992608205,0.07382510922431947
India,117,4.565,0.64499,0.5152899999999999,0.26475,0.39786,0.08492000000000001,118,4.404,0.74036,0.45091000000000003,0.25028,0.40285,0.08722,122,4.31500005722046,0.7922212481498722,0.455427616834641,0.23153848946094502,0.469987004995346,0.0922268852591515,133,4.19,0.721,0.485,0.172,0.539,0.09300000000000001,140,4.015,0.755,0.588,0.2,0.498,0.085,100,6.56,,4.297800011444092,0.7307142496299744,0.4989255233669282,0.22371369789218898,15.552528143570765,0.08847337705183031
Brazil,16,6.983,0.98124,0.69702,0.14574,0.49049,0.17521,17,6.952000000000001,1.08754,0.61415,0.15775999999999998,0.40425,0.14165999999999998,22,6.6350002288818395,1.1073532104492199,0.6165523529052729,0.16234989464282998,0.437453746795654,0.11109276115894301,28,6.419,0.986,0.675,0.11,0.493,0.08800000000000001,32,6.3,1.004,0.802,0.099,0.39,0.086,101,6.56,,6.6578000457763675,1.033226642089844,0.6809444705810546,0.134969978928566,15.682170535256521,0.1203925522317886
Haiti,119,4.518,0.26673,0.38847,0.46187,0.24425,0.17175,136,4.0280000000000005,0.34097,0.27494,0.47958,0.12072000000000001,0.14476,145,3.6029999256133998,0.368610262870789,0.277321130037308,0.48920378088951094,0.0303698573261499,0.0998721495270729,148,3.582,0.315,0.289,0.392,0.025,0.10400000000000001,147,3.597,0.32299999999999995,0.449,0.419,0.026000000000000002,0.11,99,6.58,,3.8655999851226803,0.3228620525741578,0.3357462260074616,0.44833075617790225,15.146619979618022,0.1260764299054146
Kuwait,39,6.295,1.5542200000000002,0.72492,0.16228,0.55499,0.25609,41,6.239,1.61714,0.63569,0.15965,0.43166000000000004,0.23669,39,6.10500001907349,1.63295245170593,0.6321057081222529,0.228289797902107,0.49633759260177596,0.21515955030918102,45,6.082999999999999,1.474,0.675,0.16699999999999998,0.5539999999999999,0.106,51,6.021,1.5,0.8079999999999999,0.142,0.493,0.09699999999999999,97,6.6,,6.148600003814698,1.555662490341186,0.6951431416244505,0.17184395958042137,15.16142679894311,0.18218791006183618
